system_key,label,is_anomaly,consensus_rank,consensus_score,method_vote_count,output_file,image_path,rank,score,source_id,source_image,system,paired_mask_file,x,y,generation_method,blue_marker_ratio,border_foreground_ratio,center_foreground_ratio,contrast,dirty_mark_center_score,dirty_mark_found,dirty_mark_margin_score,dirty_mark_ratio,edge_density,entropy,estimated_background_ratio,exposure_score,flat_ratio,foreground_ratio,high_frequency_energy,laplacian_variance,largest_component_area,largest_component_ratio,largest_flat_background_ratio,local_std_mean,material_border_ratio,material_center_ratio,material_largest_component_area,material_largest_component_ratio,material_ratio,mean_brightness,quality_gate_pass,read_ok,tenengrad,manifest_path,isolation_forest_score,isolation_forest_norm,isolation_forest_rank,isolation_forest_flag,lof_score,lof_norm,lof_rank,lof_flag,pca_score,pca_norm,pca_rank,pca_flag,feature_columns
system_1_opencv_content_contour,clean_negative,0,25,0.70112162,0,clean_negative/clean_15_11.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_15_11.jpg,211,0.80482369,15,15.jpg,system_1_opencv_content_contour,,785,397,sliding_window_clean,0.00000000,1.00000000,1.00000000,18.32585480,0.00000000,0.00000000,0.00000000,0.00000000,0.10803223,0.65355126,0.08270264,0.99763489,0.14152527,1.00000000,0.26451874,230.32456802,65536.00000000,1.00000000,0.04829407,9.66236687,0.86777344,0.92706299,60079.00000000,0.91673279,0.91729736,147.78703308,1.00000000,1.00000000,4032.76513672,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.49561304,0.61582124,79,0,1.36024194,0.71402190,37,0,0.00004682,0.77352171,27,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,0,26,0.69998971,1,clean_negative/clean_15_70.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_15_70.jpg,295,0.69471933,15,15.jpg,system_1_opencv_content_contour,,240,1184,sliding_window_clean,0.00000000,0.99946289,0.99664307,24.34512160,0.00000000,0.00000000,0.00000000,0.00000000,0.18688965,0.75236940,0.10481262,0.96986389,0.11047363,0.99859619,0.22947484,512.20670605,65444.00000000,0.99859619,0.07974243,12.93836212,0.70952148,0.99554443,58662.00000000,0.89511108,0.89518738,175.01968384,1.00000000,1.00000000,6931.48925781,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.57216207,1.00000000,7,1,1.34368805,0.68343152,46,0,0.00002725,0.41653761,74,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,0,27,0.69779246,1,clean_negative/clean_9_141.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_9_141.jpg,181,0.85806183,9,9.jpg,system_1_opencv_content_contour,,48,947,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.35141627,0.00000000,0.00000000,0.00000000,0.00000000,0.20071411,0.78189238,0.03010559,0.96829987,0.05021667,1.00000000,0.16941948,641.76128395,65536.00000000,1.00000000,0.02012634,12.62422562,0.89321289,0.99707031,63563.00000000,0.96989441,0.96989441,180.38253784,1.00000000,1.00000000,6461.58886719,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.48654795,0.56819792,90,0,1.59506527,1.00000000,13,1,0.00003320,0.52517946,52,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,0,28,0.68195153,0,clean_negative/clean_5_78.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_5_78.jpg,249,0.67314188,5,5.jpg,system_1_opencv_content_contour,,288,771,sliding_window_clean,0.00000000,0.99975586,1.00000000,21.62438978,0.00000000,0.00000000,0.00000000,0.00000000,0.19944763,0.72349175,0.12322998,0.97051239,0.12123108,0.99990845,0.26369956,788.02958038,65530.00000000,0.99990845,0.10643005,12.30354977,0.84301758,0.97393799,57460.00000000,0.87677002,0.87677002,183.47087097,1.00000000,1.00000000,6592.62304688,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.54645979,0.88294404,28,0,1.19923264,0.41648863,112,0,0.00004533,0.74642192,29,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,0,29,0.67813311,0,clean_negative/clean_2_12.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_2_12.jpg,237,0.70958272,2,2.jpg,system_1_opencv_content_contour,,48,144,sliding_window_clean,0.00000000,1.00000000,0.99896240,19.28693323,0.00000000,0.00000000,0.00000000,0.00000000,0.11447144,0.70748019,0.10957336,0.97642517,0.13450623,0.99916077,0.18960074,209.30476332,65481.00000000,0.99916077,0.03297424,9.22884178,0.81665039,0.91894531,58345.00000000,0.89027405,0.89042664,191.30441284,1.00000000,1.00000000,3207.12597656,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.51635751,0.72480209,52,0,1.31177330,0.62445543,55,0,0.00004197,0.68514183,37,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,0,30,0.67176675,1,clean_negative/clean_6_205.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_6_205.jpg,70,0.94936624,6,6.jpg,system_1_opencv_content_contour,,480,1165,sliding_window_clean,0.00000000,0.99531250,1.00000000,21.85166974,0.00000000,0.00000000,0.00000000,0.00000000,0.15550232,0.72928127,0.01721191,0.99286652,0.04847717,0.99926758,0.25803635,437.20709968,65488.00000000,0.99926758,0.00152588,11.74821472,0.96362305,0.99847412,64400.00000000,0.98266602,0.98278809,156.85653687,1.00000000,1.00000000,5914.65283203,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.44383433,0.34380245,145,0,1.35987085,0.71333613,38,0,0.00005694,0.95816168,17,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,0,31,0.66688708,0,clean_negative/clean_5_81.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_5_81.jpg,248,0.67352517,5,5.jpg,system_1_opencv_content_contour,,288,773,sliding_window_clean,0.00000000,0.99975586,1.00000000,21.66937665,0.00000000,0.00000000,0.00000000,0.00000000,0.19813538,0.72408183,0.12290955,0.97058868,0.12126160,0.99990845,0.26153123,783.21384308,65530.00000000,0.99990845,0.10643005,12.27188396,0.84277344,0.97412109,57481.00000000,0.87709045,0.87709045,183.44725037,1.00000000,1.00000000,6568.61035156,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.54097167,0.85411228,33,0,1.19732308,0.41295992,114,0,0.00004463,0.73358904,31,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,0,32,0.66598621,1,clean_negative/clean_9_154.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_9_154.jpg,230,0.75009201,9,9.jpg,system_1_opencv_content_contour,,96,995,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.57640574,0.00000000,0.00000000,0.00000000,0.00000000,0.18486023,0.75834322,0.08647156,0.97520447,0.10011292,1.00000000,0.19811097,700.20375743,65536.00000000,1.00000000,0.04321289,12.67241955,0.76855469,0.99578857,59727.00000000,0.91136169,0.91352844,170.94935608,1.00000000,1.00000000,7059.53710938,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.51577514,0.72174258,54,0,1.62378750,1.00000000,8,1,0.00001955,0.27621606,117,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,0,33,0.65881884,1,clean_negative/clean_7_15.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_7_15.jpg,269,0.57310393,7,7.jpg,system_1_opencv_content_contour,,174,986,sliding_window_clean,0.00000000,1.00000000,0.99664307,18.09208983,0.00000000,0.00000000,0.00000000,0.00000000,0.10064697,0.65033094,0.17895508,0.98744965,0.21710205,0.99725342,0.28384840,190.79658845,65356.00000000,0.99725342,0.12771606,9.70109367,0.68251953,0.93310547,53783.00000000,0.82066345,0.82104492,171.94700623,1.00000000,1.00000000,4013.80371094,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.61362642,1.00000000,2,1,1.30960172,0.62044251,57,0,0.00002393,0.35601400,88,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,0,34,0.65225932,1,clean_negative/clean_9_126.jpg,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\clean_negative\clean_9_126.jpg,216,0.79608744,9,9.jpg,system_1_opencv_content_contour,,0,851,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.33084816,0.00000000,0.00000000,0.00000000,0.00000000,0.18737793,0.75298778,0.06384277,0.97589111,0.07443237,1.00000000,0.19674550,528.28066029,65536.00000000,1.00000000,0.05766296,11.50408649,0.84116211,0.99969482,61347.00000000,0.93608093,0.93615723,185.04096985,1.00000000,1.00000000,5317.26513672,BacktestSelection\run_20260617_163620\system_1_opencv_content_contour\selected_manifest.csv,0.46209690,0.43974461,123,0,1.53805587,1.00000000,1,1,0.00003276,0.51703336,53,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
