system_key,label,is_anomaly,consensus_rank,consensus_score,method_vote_count,output_file,image_path,rank,score,source_id,source_image,system,paired_mask_file,x,y,generation_method,blue_marker_ratio,border_foreground_ratio,center_foreground_ratio,contrast,dirty_mark_center_score,dirty_mark_found,dirty_mark_margin_score,dirty_mark_ratio,edge_density,entropy,estimated_background_ratio,exposure_score,flat_ratio,foreground_ratio,high_frequency_energy,laplacian_variance,largest_component_area,largest_component_ratio,largest_flat_background_ratio,local_std_mean,material_border_ratio,material_center_ratio,material_largest_component_area,material_largest_component_ratio,material_ratio,mean_brightness,quality_gate_pass,read_ok,tenengrad,manifest_path,isolation_forest_score,isolation_forest_norm,isolation_forest_rank,isolation_forest_flag,lof_score,lof_norm,lof_rank,lof_flag,pca_score,pca_norm,pca_rank,pca_flag,feature_columns
system_1_opencv_content_contour,clean_negative,1,1,1.00000000,3,clean_negative/clean_7_18.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_7_18.jpg,253,0.63866824,7,7.jpg,system_1_opencv_content_contour,,174,1031,sliding_window_clean,0.00000000,0.99970703,0.98632812,18.85433435,0.00000000,0.00000000,0.00000000,0.00000000,0.10049438,0.66123660,0.14570618,0.98497009,0.18844604,0.99568176,0.26300329,194.66944957,65253.00000000,0.99568176,0.09645081,9.83811569,0.76186523,0.92138672,55967.00000000,0.85398865,0.85429382,172.78684998,1.00000000,1.00000000,3995.18188477,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.60261888,1.00000000,9,1,1.60551765,1.00000000,6,1,0.00030681,1.00000000,4,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,1,2,1.00000000,3,clean_negative/clean_15_16.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_15_16.jpg,195,0.83224140,15,15.jpg,system_1_opencv_content_contour,,68,848,sliding_window_clean,0.00000000,0.99926758,0.98999023,19.59920702,0.00000000,0.00000000,0.00000000,0.00000000,0.18394470,0.69672298,0.06381226,0.98092651,0.06242371,0.99566650,0.32813501,521.30817662,65252.00000000,0.99566650,0.03390503,12.09883976,0.93437500,0.96954346,61344.00000000,0.93603516,0.93618774,176.24014282,1.00000000,1.00000000,6260.87011719,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.57010202,1.00000000,1,1,1.61878935,1.00000000,14,1,0.00021267,1.00000000,11,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,1,3,0.99970658,3,clean_negative/clean_4_189.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_4_189.jpg,255,0.59497116,4,4.jpg,system_1_opencv_content_contour,,419,808,sliding_window_clean,0.00000000,1.00000000,1.00000000,14.74916028,0.00000000,0.00000000,0.00000000,0.00000000,0.06190491,0.64856005,0.18576050,0.99961853,0.25549316,1.00000000,0.20318548,129.82775855,65536.00000000,1.00000000,0.15556335,7.01956463,0.81928711,0.94470215,53110.00000000,0.81039429,0.81423950,154.55143738,1.00000000,1.00000000,1986.90124512,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.65115289,1.00000000,10,1,1.51428879,0.99911975,16,1,0.00008726,1.00000000,6,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,1,4,0.97354915,3,clean_negative/clean_5_73.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_5_73.jpg,251,0.65221936,5,5.jpg,system_1_opencv_content_contour,,638,761,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.15198807,0.00000000,0.00000000,0.00000000,0.00000000,0.14533997,0.74541736,0.16253662,0.99362946,0.21739197,1.00000000,0.14089343,408.13615207,65536.00000000,1.00000000,0.01000977,9.92748070,0.62651367,0.99127197,54327.00000000,0.82896423,0.83746338,151.34759521,1.00000000,1.00000000,4875.18945312,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.55363653,0.92064745,22,1,1.52740853,1.00000000,7,1,0.00018577,1.00000000,3,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,1,5,0.97340509,3,clean_negative/clean_7_22.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_7_22.jpg,247,0.67534236,7,7.jpg,system_1_opencv_content_contour,,174,1079,sliding_window_clean,0.00000000,0.99995117,0.98547363,19.76448258,0.00000000,0.00000000,0.00000000,0.00000000,0.10568237,0.68017594,0.12515259,0.98237610,0.16372681,0.99560547,0.24907795,205.63823790,65248.00000000,0.99560547,0.08372498,10.16889668,0.79121094,0.92333984,57319.00000000,0.87461853,0.87484741,173.73559570,1.00000000,1.00000000,4108.23535156,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.55355427,0.92021527,23,1,1.64074213,1.00000000,4,1,0.00027716,1.00000000,8,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,1,6,0.96858045,2,clean_negative/clean_15_15.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_15_15.jpg,203,0.81177210,15,15.jpg,system_1_opencv_content_contour,,48,848,sliding_window_clean,0.00000000,0.99951172,0.99066162,19.58616659,0.00000000,0.00000000,0.00000000,0.00000000,0.17631531,0.69750730,0.07244873,0.98115540,0.07090759,0.99682617,0.31479210,512.58483247,65328.00000000,0.99682617,0.03399658,11.82220554,0.89501953,0.96014404,60769.00000000,0.92726135,0.92755127,176.02813721,1.00000000,1.00000000,6055.87695312,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.55079915,0.90574136,26,0,1.83402788,1.00000000,15,1,0.00019512,1.00000000,12,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,1,7,0.92732601,2,clean_negative/clean_9_131.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_9_131.jpg,288,0.67469240,9,9.jpg,system_1_opencv_content_contour,,571,891,sliding_window_clean,0.00000000,0.98994141,1.00000000,22.79904593,0.00000000,0.00000000,0.00000000,0.00000000,0.18627930,0.73048878,0.15512085,0.99626160,0.16510010,0.99833679,0.27794588,754.27648294,65427.00000000,0.99833679,0.08018494,12.36130810,0.67968750,0.99224854,55336.00000000,0.84436035,0.84487915,138.79586792,1.00000000,1.00000000,7563.97265625,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.62412350,1.00000000,6,1,1.39683200,0.78197802,26,0,0.00018399,1.00000000,14,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,1,8,0.91527445,2,clean_negative/clean_5_91.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_5_91.jpg,246,0.68280352,5,5.jpg,system_1_opencv_content_contour,,637,820,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.43040591,0.00000000,0.00000000,0.00000000,0.00000000,0.14465332,0.75513538,0.14984131,0.99362946,0.20040894,1.00000000,0.12960678,407.04900314,65536.00000000,1.00000000,0.00006104,10.08936596,0.68037109,0.97399902,55143.00000000,0.84141541,0.85015869,150.16842651,1.00000000,1.00000000,4983.05468750,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.52035861,0.74582334,48,0,1.52760515,1.00000000,5,1,0.00014375,1.00000000,9,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,1,9,0.91370338,2,clean_negative/clean_5_86.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_5_86.jpg,243,0.69321445,5,5.jpg,system_1_opencv_content_contour,,637,809,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.30573904,0.00000000,0.00000000,0.00000000,0.00000000,0.14619446,0.75473062,0.14593506,0.99370575,0.19624329,1.00000000,0.13233307,413.14934011,65536.00000000,1.00000000,0.00001526,10.15917587,0.68710938,0.97869873,55908.00000000,0.85308838,0.85406494,150.51385498,1.00000000,1.00000000,5035.15380859,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.51946145,0.74111014,49,0,1.53515131,1.00000000,3,1,0.00013387,1.00000000,2,1,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
system_1_opencv_content_contour,clean_negative,1,10,0.89234788,2,clean_negative/clean_7_46.jpg,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\clean_negative\clean_7_46.jpg,279,0.53685319,7,7.jpg,system_1_opencv_content_contour,,144,1175,sliding_window_clean,0.00000000,0.99047852,1.00000000,22.01355476,0.00000000,0.00000000,0.00000000,0.00000000,0.10014343,0.72738949,0.18666077,0.98355865,0.22520447,0.99638367,0.16751483,181.39532469,65299.00000000,0.99638367,0.15800476,9.31752396,0.60239258,0.99133301,53303.00000000,0.81333923,0.81333923,171.46557617,1.00000000,1.00000000,3529.25537109,BacktestSelection\run_20260616_083812\system_1_opencv_content_contour\selected_manifest.csv,0.62613729,1.00000000,3,1,1.56541300,1.00000000,10,1,0.00004153,0.67704363,38,0,score;blue_marker_ratio;border_foreground_ratio;center_foreground_ratio;contrast;dirty_mark_center_score;dirty_mark_found;dirty_mark_margin_score;dirty_mark_ratio;edge_density;entropy;estimated_background_ratio;exposure_score;flat_ratio;foreground_ratio;high_frequency_energy;laplacian_variance;largest_component_area;largest_component_ratio;largest_flat_background_ratio;local_std_mean;material_border_ratio;material_center_ratio;material_largest_component_area;material_largest_component_ratio;material_ratio;mean_brightness;quality_gate_pass;read_ok;tenengrad
