rank,system,score,label,output_file,paired_mask_file,source_id,source_image,x,y,generation_method,blue_marker_ratio,border_foreground_ratio,center_foreground_ratio,contrast,dirty_mark_center_score,dirty_mark_found,dirty_mark_margin_score,dirty_mark_ratio,edge_density,entropy,estimated_background_ratio,exposure_score,flat_ratio,foreground_ratio,high_frequency_energy,laplacian_variance,largest_component_area,largest_component_ratio,largest_flat_background_ratio,local_std_mean,material_border_ratio,material_center_ratio,material_largest_component_area,material_largest_component_ratio,material_ratio,mean_brightness,quality_gate_pass,read_ok,tenengrad
1,system_3_numpy_frequency_balance,0.91086609,clean_negative,clean_negative/clean_10_26.jpg,,10,10.jpg,676,393,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.89482333,0.00000000,0.00000000,0.00000000,0.00000000,0.24061584,0.78942688,0.00065613,0.98786926,0.00410461,1.00000000,0.26384684,879.36450031,65536.00000000,1.00000000,0.00003052,15.73047924,1.00000000,0.99884033,65493.00000000,0.99934387,0.99934387,158.81953430,1.00000000,1.00000000,10112.27343750
2,system_3_numpy_frequency_balance,0.90896957,clean_negative,clean_negative/clean_10_10.jpg,,10,10.jpg,676,297,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.24495189,0.00000000,0.00000000,0.00000000,0.00000000,0.20295715,0.76280395,0.00346375,0.99008179,0.01617432,1.00000000,0.26828066,706.11222040,65536.00000000,1.00000000,0.00000000,13.81467819,0.99770508,0.99749756,65309.00000000,0.99653625,0.99653625,158.65808105,1.00000000,1.00000000,8124.91503906
3,system_3_numpy_frequency_balance,0.90451492,clean_negative,clean_negative/clean_8_18.jpg,,8,8.jpg,310,564,sliding_window_clean,0.00000000,1.00000000,1.00000000,19.91381585,0.00000000,0.00000000,0.00000000,0.00000000,0.16839600,0.69270531,0.01530457,0.99542236,0.04583740,1.00000000,0.31742939,505.60660351,65536.00000000,1.00000000,0.00070190,11.96702766,0.97397461,0.98699951,64533.00000000,0.98469543,0.98469543,150.86463928,1.00000000,1.00000000,6180.14599609
4,system_3_numpy_frequency_balance,0.89798435,clean_negative,clean_negative/clean_10_18.jpg,,10,10.jpg,676,345,sliding_window_clean,0.00000000,1.00000000,1.00000000,25.78491618,0.00000000,0.00000000,0.00000000,0.00000000,0.21347046,0.77775542,0.00340271,0.98821259,0.01608276,1.00000000,0.25755253,767.93811172,65536.00000000,1.00000000,0.00000000,14.50292110,0.99521484,1.00000000,65313.00000000,0.99659729,0.99659729,158.32980347,1.00000000,1.00000000,8986.45312500
5,system_3_numpy_frequency_balance,0.89520267,clean_negative,clean_negative/clean_10_27.jpg,,10,10.jpg,724,393,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.64121079,0.00000000,0.00000000,0.00000000,0.00000000,0.22836304,0.78928685,0.00073242,0.99023438,0.00531006,1.00000000,0.24580808,806.69148792,65536.00000000,1.00000000,0.00003052,15.17124748,0.99975586,0.99737549,65488.00000000,0.99926758,0.99926758,159.81231689,1.00000000,1.00000000,9385.97167969
6,system_3_numpy_frequency_balance,0.89063395,clean_negative,clean_negative/clean_6_204.jpg,,6,6.jpg,432,1165,sliding_window_clean,0.00000000,0.99731445,1.00000000,22.44005943,0.00000000,0.00000000,0.00000000,0.00000000,0.18247986,0.73596795,0.00680542,0.98847961,0.02038574,0.99916077,0.27307671,523.75275471,65481.00000000,0.99916077,0.00152588,12.88232040,0.99067383,0.99847412,65090.00000000,0.99319458,0.99319458,164.48414612,1.00000000,1.00000000,6799.30468750
7,system_3_numpy_frequency_balance,0.88865974,clean_negative,clean_negative/clean_8_24.jpg,,8,8.jpg,310,612,sliding_window_clean,0.00000000,1.00000000,1.00000000,20.01426470,0.00000000,0.00000000,0.00000000,0.00000000,0.15953064,0.69685030,0.02194214,0.99553680,0.05715942,1.00000000,0.29586080,469.64048296,65536.00000000,1.00000000,0.00004578,11.61589813,0.97568359,0.97644043,64098.00000000,0.97805786,0.97805786,149.45501709,1.00000000,1.00000000,5872.45312500
8,system_3_numpy_frequency_balance,0.88840702,clean_negative,clean_negative/clean_1_65.jpg,,1,1.jpg,440,730,sliding_window_clean,0.00000000,1.00000000,1.00000000,20.80655817,0.00000000,0.00000000,0.00000000,0.00000000,0.16413879,0.70724233,0.00877380,0.99820709,0.03814697,1.00000000,0.27169380,724.58389788,65536.00000000,1.00000000,0.00015259,11.54100513,0.99536133,0.99426270,64961.00000000,0.99122620,0.99122620,136.33232117,1.00000000,1.00000000,6214.81689453
9,system_3_numpy_frequency_balance,0.88573692,clean_negative,clean_negative/clean_10_40.jpg,,10,10.jpg,724,475,sliding_window_clean,0.00000000,1.00000000,1.00000000,28.38193818,0.00000000,0.00000000,0.00000000,0.00000000,0.24615479,0.79774125,0.00096130,0.98901367,0.00436401,1.00000000,0.24183513,879.47936568,65536.00000000,1.00000000,0.00000000,16.10116577,1.00000000,0.99884033,65473.00000000,0.99903870,0.99903870,156.20065308,1.00000000,1.00000000,10379.29101562
10,system_3_numpy_frequency_balance,0.88511788,clean_negative,clean_negative/clean_6_191.jpg,,6,6.jpg,336,1117,sliding_window_clean,0.00000000,1.00000000,0.99822998,21.24938433,0.00000000,0.00000000,0.00000000,0.00000000,0.18312073,0.72088067,0.01278687,0.98306274,0.02912903,0.99955750,0.29974419,571.69851159,65507.00000000,0.99955750,0.00294495,12.79848480,0.98300781,0.98278809,64693.00000000,0.98713684,0.98721313,170.74794006,1.00000000,1.00000000,6778.56884766
11,system_3_numpy_frequency_balance,0.88318990,clean_negative,clean_negative/clean_9_144.jpg,,9,9.jpg,180,947,sliding_window_clean,0.00000000,1.00000000,1.00000000,22.39688157,0.00000000,0.00000000,0.00000000,0.00000000,0.15936279,0.72216614,0.01773071,0.99004364,0.05603027,0.99995422,0.28019458,702.46189169,65533.00000000,0.99995422,0.00193787,12.29137421,0.96796875,0.99542236,64374.00000000,0.98226929,0.98226929,157.79475403,1.00000000,1.00000000,6938.38867188
12,system_3_numpy_frequency_balance,0.88287474,clean_negative,clean_negative/clean_6_193.jpg,,6,6.jpg,432,1117,sliding_window_clean,0.00000000,1.00000000,1.00000000,22.70441939,0.00000000,0.00000000,0.00000000,0.00000000,0.18173218,0.73640418,0.00834656,0.98832703,0.02763367,1.00000000,0.26836705,514.00746932,65536.00000000,1.00000000,0.00068665,12.83052254,0.99287109,0.99645996,64984.00000000,0.99157715,0.99165344,163.96682739,1.00000000,1.00000000,6838.07812500
13,system_3_numpy_frequency_balance,0.88208032,clean_negative,clean_negative/clean_10_11.jpg,,10,10.jpg,724,297,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.78324252,0.00000000,0.00000000,0.00000000,0.00000000,0.19358826,0.76132337,0.01144409,0.99183655,0.02575684,1.00000000,0.25315937,640.98692369,65536.00000000,1.00000000,0.00396729,13.27518177,0.97602539,0.99578857,64786.00000000,0.98855591,0.98855591,160.47267151,1.00000000,1.00000000,7456.34375000
14,system_3_numpy_frequency_balance,0.88170767,clean_negative,clean_negative/clean_10_41.jpg,,10,10.jpg,772,488,sliding_window_clean,0.00000000,1.00000000,1.00000000,28.05016472,0.00000000,0.00000000,0.00000000,0.00000000,0.24087524,0.78881653,0.00183105,0.99053955,0.00976562,1.00000000,0.23640674,825.14038920,65536.00000000,1.00000000,0.00000000,15.58497334,0.99682617,0.99865723,65416.00000000,0.99816895,0.99816895,153.79968262,1.00000000,1.00000000,9751.57910156
15,system_3_numpy_frequency_balance,0.87947783,clean_negative,clean_negative/clean_10_35.jpg,,10,10.jpg,724,441,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.80132753,0.00000000,0.00000000,0.00000000,0.00000000,0.24134827,0.79748956,0.00099182,0.98844147,0.00431824,1.00000000,0.23866530,824.44110110,65536.00000000,1.00000000,0.00000000,15.71391106,0.99956055,0.99884033,65471.00000000,0.99900818,0.99900818,159.22471619,1.00000000,1.00000000,9865.57812500
16,system_3_numpy_frequency_balance,0.87857815,clean_negative,clean_negative/clean_6_192.jpg,,6,6.jpg,384,1117,sliding_window_clean,0.00000000,0.99897461,1.00000000,22.31758384,0.00000000,0.00000000,0.00000000,0.00000000,0.18634033,0.72669562,0.01126099,0.98058319,0.02711487,0.99955750,0.29063234,566.45443028,65507.00000000,0.99955750,0.00294495,13.23058891,0.99150391,0.99591064,64793.00000000,0.98866272,0.98873901,168.33178711,1.00000000,1.00000000,7187.07666016
17,system_3_numpy_frequency_balance,0.87829534,clean_negative,clean_negative/clean_6_221.jpg,,6,6.jpg,432,1213,sliding_window_clean,0.00000000,0.99653320,1.00000000,22.20994542,0.00000000,0.00000000,0.00000000,0.00000000,0.18315125,0.73201656,0.02342224,0.98710632,0.03102112,0.99545288,0.28239045,534.31391823,65238.00000000,0.99545288,0.01101685,12.87280464,0.92768555,0.99279785,64001.00000000,0.97657776,0.97657776,165.76995850,1.00000000,1.00000000,6763.51513672
18,system_3_numpy_frequency_balance,0.87751628,clean_negative,clean_negative/clean_3_60.jpg,,3,3.jpg,384,936,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.80987347,0.00000000,0.00000000,0.00000000,0.00000000,0.19752502,0.76016426,0.00431824,0.98874664,0.01910400,1.00000000,0.25220966,682.99017200,65536.00000000,1.00000000,0.00086975,12.97999573,0.99545898,0.99682617,65248.00000000,0.99560547,0.99568176,168.45007324,1.00000000,1.00000000,7099.31152344
19,system_3_numpy_frequency_balance,0.87432242,clean_negative,clean_negative/clean_3_80.jpg,,3,3.jpg,384,984,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.28382618,0.00000000,0.00000000,0.00000000,0.00000000,0.18815613,0.75099405,0.01580811,0.98931885,0.02996826,0.99993896,0.26173714,661.31449166,65532.00000000,0.99993896,0.00891113,12.88620090,0.95307617,0.99041748,64500.00000000,0.98419189,0.98419189,167.88642883,1.00000000,1.00000000,7042.26464844
20,system_3_numpy_frequency_balance,0.87398922,clean_negative,clean_negative/clean_8_30.jpg,,8,8.jpg,310,633,sliding_window_clean,0.00000000,1.00000000,1.00000000,19.64704855,0.00000000,0.00000000,0.00000000,0.00000000,0.14857483,0.69101954,0.02571106,0.99591827,0.06341553,1.00000000,0.29501635,438.34243024,65536.00000000,1.00000000,0.00004578,11.28500748,0.97797852,0.97552490,63846.00000000,0.97421265,0.97428894,149.01950073,1.00000000,1.00000000,5572.90136719
