rank,system,score,label,output_file,paired_mask_file,source_id,source_image,x,y,generation_method,blue_marker_ratio,border_foreground_ratio,center_foreground_ratio,contrast,dirty_mark_center_score,dirty_mark_found,dirty_mark_margin_score,dirty_mark_ratio,edge_density,entropy,estimated_background_ratio,exposure_score,flat_ratio,foreground_ratio,high_frequency_energy,laplacian_variance,largest_component_area,largest_component_ratio,largest_flat_background_ratio,local_std_mean,material_border_ratio,material_center_ratio,material_largest_component_area,material_largest_component_ratio,material_ratio,mean_brightness,quality_gate_pass,read_ok,tenengrad
1,system_1_opencv_content_contour,0.97778792,clean_negative,clean_negative/clean_14_88.jpg,,14,14.jpg,336,637,sliding_window_clean,0.00000000,0.99995117,1.00000000,17.77534474,0.00000000,0.00000000,0.00000000,0.00000000,0.13511658,0.69686325,0.00950623,0.99843597,0.02490234,0.99998474,0.22285134,391.15472127,65535.00000000,0.99998474,0.00411987,9.44580269,0.98452148,0.98565674,64913.00000000,0.99049377,0.99049377,170.65510559,1.00000000,1.00000000,3766.53881836
2,system_1_opencv_content_contour,0.97676283,clean_negative,clean_negative/clean_14_80.jpg,,14,14.jpg,290,604,sliding_window_clean,0.00000000,1.00000000,1.00000000,15.76025228,0.00000000,0.00000000,0.00000000,0.00000000,0.14804077,0.66671411,0.00953674,0.99698639,0.01965332,0.99961853,0.30611321,420.33302620,65511.00000000,0.99961853,0.00436401,9.76211643,0.99560547,0.99462891,64911.00000000,0.99046326,0.99046326,177.57817078,1.00000000,1.00000000,3963.49633789
3,system_1_opencv_content_contour,0.97647288,clean_negative,clean_negative/clean_1_72.jpg,,1,1.jpg,680,761,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.93784914,0.00000000,0.00000000,0.00000000,0.00000000,0.15835571,0.76977030,0.00506592,0.99565125,0.02128601,1.00000000,0.16824907,317.38515624,65536.00000000,1.00000000,0.00115967,11.62841129,0.99497070,0.99969482,65204.00000000,0.99493408,0.99493408,151.19499207,1.00000000,1.00000000,5171.19970703
4,system_1_opencv_content_contour,0.97636050,clean_negative,clean_negative/clean_1_80.jpg,,1,1.jpg,680,778,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.67217239,0.00000000,0.00000000,0.00000000,0.00000000,0.16159058,0.76672633,0.00611877,0.99576569,0.02174377,1.00000000,0.17844565,324.24131267,65536.00000000,1.00000000,0.00016785,11.71667957,0.99204102,1.00000000,65135.00000000,0.99388123,0.99388123,150.69485474,1.00000000,1.00000000,5273.35839844
5,system_1_opencv_content_contour,0.97590425,clean_negative,clean_negative/clean_14_97.jpg,,14,14.jpg,336,672,sliding_window_clean,0.00000000,1.00000000,1.00000000,18.93417927,0.00000000,0.00000000,0.00000000,0.00000000,0.12326050,0.71054069,0.01170349,0.99889374,0.03466797,0.99998474,0.18322892,352.95537117,65535.00000000,0.99998474,0.00442505,9.07575035,0.98129883,0.99572754,64769.00000000,0.98829651,0.98829651,167.30999756,1.00000000,1.00000000,3493.87695312
6,system_1_opencv_content_contour,0.97588587,clean_negative,clean_negative/clean_14_96.jpg,,14,14.jpg,294,665,sliding_window_clean,0.00000000,1.00000000,1.00000000,18.06298031,0.00000000,0.00000000,0.00000000,0.00000000,0.13861084,0.69866546,0.01060486,0.99820709,0.02886963,0.99992371,0.21282275,373.32541410,65531.00000000,0.99992371,0.00428772,9.37199497,0.99599609,0.99102783,64841.00000000,0.98939514,0.98939514,172.74284363,1.00000000,1.00000000,3682.80737305
7,system_1_opencv_content_contour,0.97570825,clean_negative,clean_negative/clean_1_65.jpg,,1,1.jpg,440,730,sliding_window_clean,0.00000000,1.00000000,1.00000000,20.80655817,0.00000000,0.00000000,0.00000000,0.00000000,0.16413879,0.70724233,0.00877380,0.99820709,0.03814697,1.00000000,0.27169380,724.58389788,65536.00000000,1.00000000,0.00015259,11.54100513,0.99536133,0.99426270,64961.00000000,0.99122620,0.99122620,136.33232117,1.00000000,1.00000000,6214.81689453
8,system_1_opencv_content_contour,0.97558056,clean_negative,clean_negative/clean_14_79.jpg,,14,14.jpg,288,604,sliding_window_clean,0.00000000,1.00000000,1.00000000,15.78801046,0.00000000,0.00000000,0.00000000,0.00000000,0.15072632,0.66668057,0.00917053,0.99645233,0.01937866,0.99975586,0.31228298,421.56207390,65520.00000000,0.99975586,0.00440979,9.79463959,0.99580078,0.99505615,64935.00000000,0.99082947,0.99082947,177.83917236,1.00000000,1.00000000,3981.46679688
9,system_1_opencv_content_contour,0.97519540,clean_negative,clean_negative/clean_14_87.jpg,,14,14.jpg,288,624,sliding_window_clean,0.00000000,1.00000000,1.00000000,16.35823848,0.00000000,0.00000000,0.00000000,0.00000000,0.14762878,0.67559258,0.00941467,0.99652863,0.01977539,0.99971008,0.28986043,411.91121596,65517.00000000,0.99971008,0.00442505,9.76363564,0.99980469,0.99310303,64919.00000000,0.99058533,0.99058533,176.97973633,1.00000000,1.00000000,3978.17041016
10,system_1_opencv_content_contour,0.97403533,clean_negative,clean_negative/clean_1_85.jpg,,1,1.jpg,728,785,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.15951451,0.00000000,0.00000000,0.00000000,0.00000000,0.14849854,0.75290736,0.00686646,0.99664307,0.02880859,1.00000000,0.19007704,253.38621293,65536.00000000,1.00000000,0.00041199,11.21651077,0.98916016,0.98529053,65086.00000000,0.99313354,0.99313354,150.03126526,1.00000000,1.00000000,4684.42871094
