rank,system,score,label,output_file,paired_mask_file,source_id,source_image,x,y,generation_method,blue_marker_ratio,border_foreground_ratio,center_foreground_ratio,contrast,dirty_mark_center_score,dirty_mark_found,dirty_mark_margin_score,dirty_mark_ratio,edge_density,entropy,estimated_background_ratio,exposure_score,flat_ratio,foreground_ratio,high_frequency_energy,laplacian_variance,largest_component_area,largest_component_ratio,largest_flat_background_ratio,local_std_mean,material_border_ratio,material_center_ratio,material_largest_component_area,material_largest_component_ratio,material_ratio,mean_brightness,quality_gate_pass,read_ok,tenengrad
1,system_2_edge_texture_sharpness,0.97114166,clean_negative,clean_negative/clean_1_67.jpg,,1,1.jpg,535,730,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.94834083,0.00000000,0.00000000,0.00000000,0.00000000,0.18354797,0.77588598,0.00737000,0.99546051,0.02549744,1.00000000,0.18000185,627.40400304,65536.00000000,1.00000000,0.00009155,12.62691116,0.99497070,0.98205566,65053.00000000,0.99263000,0.99263000,144.49993896,1.00000000,1.00000000,6756.02441406
2,system_2_edge_texture_sharpness,0.96932569,clean_negative,clean_negative/clean_10_27.jpg,,10,10.jpg,724,393,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.64121079,0.00000000,0.00000000,0.00000000,0.00000000,0.22836304,0.78928685,0.00073242,0.99023438,0.00531006,1.00000000,0.24580808,806.69148792,65536.00000000,1.00000000,0.00003052,15.17124748,0.99975586,0.99737549,65488.00000000,0.99926758,0.99926758,159.81231689,1.00000000,1.00000000,9385.97167969
3,system_2_edge_texture_sharpness,0.96800417,clean_negative,clean_negative/clean_10_41.jpg,,10,10.jpg,772,488,sliding_window_clean,0.00000000,1.00000000,1.00000000,28.05016472,0.00000000,0.00000000,0.00000000,0.00000000,0.24087524,0.78881653,0.00183105,0.99053955,0.00976562,1.00000000,0.23640674,825.14038920,65536.00000000,1.00000000,0.00000000,15.58497334,0.99682617,0.99865723,65416.00000000,0.99816895,0.99816895,153.79968262,1.00000000,1.00000000,9751.57910156
4,system_2_edge_texture_sharpness,0.96598446,clean_negative,clean_negative/clean_10_40.jpg,,10,10.jpg,724,475,sliding_window_clean,0.00000000,1.00000000,1.00000000,28.38193818,0.00000000,0.00000000,0.00000000,0.00000000,0.24615479,0.79774125,0.00096130,0.98901367,0.00436401,1.00000000,0.24183513,879.47936568,65536.00000000,1.00000000,0.00000000,16.10116577,1.00000000,0.99884033,65473.00000000,0.99903870,0.99903870,156.20065308,1.00000000,1.00000000,10379.29101562
5,system_2_edge_texture_sharpness,0.96579841,clean_negative,clean_negative/clean_10_37.jpg,,10,10.jpg,820,441,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.10050622,0.00000000,0.00000000,0.00000000,0.00000000,0.20892334,0.78239727,0.00354004,0.99084473,0.01567078,1.00000000,0.20567724,657.42563563,65536.00000000,1.00000000,0.00000000,13.99098778,0.99658203,0.99938965,65304.00000000,0.99645996,0.99645996,155.72166443,1.00000000,1.00000000,8024.58398438
6,system_2_edge_texture_sharpness,0.96531202,clean_negative,clean_negative/clean_10_36.jpg,,10,10.jpg,772,441,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.45935835,0.00000000,0.00000000,0.00000000,0.00000000,0.23117065,0.79033454,0.00132751,0.98928070,0.00787354,1.00000000,0.22408874,748.76981483,65536.00000000,1.00000000,0.00000000,14.96980095,0.99819336,1.00000000,65449.00000000,0.99867249,0.99867249,158.46737671,1.00000000,1.00000000,8999.67480469
7,system_2_edge_texture_sharpness,0.96462149,clean_negative,clean_negative/clean_10_28.jpg,,10,10.jpg,772,393,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.06669525,0.00000000,0.00000000,0.00000000,0.00000000,0.21493530,0.78089070,0.00584412,0.99107361,0.01679993,1.00000000,0.23109002,717.69263451,65536.00000000,1.00000000,0.00018311,14.22786140,0.97612305,0.99853516,65153.00000000,0.99415588,0.99415588,159.20359802,1.00000000,1.00000000,8365.56835938
8,system_2_edge_texture_sharpness,0.96432012,clean_negative,clean_negative/clean_10_35.jpg,,10,10.jpg,724,441,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.80132753,0.00000000,0.00000000,0.00000000,0.00000000,0.24134827,0.79748956,0.00099182,0.98844147,0.00431824,1.00000000,0.23866530,824.44110110,65536.00000000,1.00000000,0.00000000,15.71391106,0.99956055,0.99884033,65471.00000000,0.99900818,0.99900818,159.22471619,1.00000000,1.00000000,9865.57812500
9,system_2_edge_texture_sharpness,0.96345188,clean_negative,clean_negative/clean_10_10.jpg,,10,10.jpg,676,297,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.24495189,0.00000000,0.00000000,0.00000000,0.00000000,0.20295715,0.76280395,0.00346375,0.99008179,0.01617432,1.00000000,0.26828066,706.11222040,65536.00000000,1.00000000,0.00000000,13.81467819,0.99770508,0.99749756,65309.00000000,0.99653625,0.99653625,158.65808105,1.00000000,1.00000000,8124.91503906
10,system_2_edge_texture_sharpness,0.96335475,clean_negative,clean_negative/clean_10_38.jpg,,10,10.jpg,852,441,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.00187678,0.00000000,0.00000000,0.00000000,0.00000000,0.19728088,0.76758774,0.00804138,0.99233246,0.02134705,1.00000000,0.20651039,624.90485186,65536.00000000,1.00000000,0.00593567,13.40769863,0.97275391,0.99938965,64989.00000000,0.99165344,0.99195862,153.64874268,1.00000000,1.00000000,7438.18652344
