label,output_file,source_id,system_1_score,system_2_score,system_3_score,foreground_ratio,largest_component_ratio,border_foreground_ratio,center_foreground_ratio,edge_density,laplacian_variance,tenengrad,entropy,local_std_mean,flat_ratio,contrast,exposure_score,high_frequency_energy,quality_gate_pass,dirty_mark_found,dirty_mark_ratio,dirty_mark_center_score,dirty_mark_margin_score
clean_negative,clean_negative/clean_1_1.jpg,1,0.82565378,0.66747619,0.73129065,0.99876404,0.99876404,0.99921875,0.99841309,0.14910889,446.18009232,4604.38623047,0.68416810,10.64783955,0.08341980,18.00255329,0.97863770,0.28048286,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
clean_negative,clean_negative/clean_1_2.jpg,1,0.93834319,0.66861868,0.72752299,0.99986267,0.99986267,1.00000000,0.99975586,0.14077759,315.32243170,4275.21582031,0.74289322,10.66158581,0.05671692,21.66861063,0.99050140,0.18954340,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
clean_negative,clean_negative/clean_1_3.jpg,1,0.91278983,0.62320714,0.67854550,0.99986267,0.99986267,1.00000000,0.99975586,0.13557434,276.09218139,3995.60473633,0.76032980,10.30136108,0.07756042,23.42137111,0.99111176,0.15925485,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
clean_negative,clean_negative/clean_1_4.jpg,1,0.90937465,0.60011311,0.66441626,0.99995422,0.99995422,0.99985352,1.00000000,0.12715149,259.71122534,3914.48828125,0.76586453,10.14165497,0.08316040,24.33042759,0.99153137,0.14827041,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
clean_negative,clean_negative/clean_1_5.jpg,1,-0.90150371,-1.20289258,-1.07291900,0.99737549,0.99737549,0.99277344,1.00000000,0.02885437,116.85047764,1168.24902344,0.58662883,5.15414238,0.50201416,16.17206616,0.99492645,0.12043067,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
clean_negative,clean_negative/clean_1_6.jpg,1,-1.06415640,-1.34079350,-1.06643427,0.99270630,0.99270630,0.98559570,0.99987793,0.01640320,100.05477259,842.84655762,0.51880260,4.36036015,0.57945251,9.73289508,0.99984741,0.24890457,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
clean_negative,clean_negative/clean_1_7.jpg,1,0.79730402,0.61752625,0.70551826,0.99681091,0.99681091,0.99531250,0.99865723,0.14726257,394.32156130,4257.97949219,0.67875417,10.29605198,0.09567261,17.48208357,0.98229980,0.27515772,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
clean_negative,clean_negative/clean_1_8.jpg,1,0.90194766,0.65876836,0.68457837,0.99980164,0.99980164,0.99975586,0.99951172,0.14866638,297.55207506,4489.51464844,0.76813316,10.80420208,0.06829834,24.23113081,0.98794556,0.15805298,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
clean_negative,clean_negative/clean_1_9.jpg,1,0.87120648,0.58988003,0.63107159,0.99986267,0.99986267,0.99975586,0.99975586,0.14004517,247.41117976,4071.38671875,0.78214518,10.27099609,0.09646606,26.00653994,0.98905182,0.13384071,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
clean_negative,clean_negative/clean_1_10.jpg,1,0.86969399,0.55423353,0.60967820,0.99995422,0.99995422,0.99970703,1.00000000,0.12634277,220.47955158,3865.39819336,0.78037397,9.97042847,0.10617065,26.45314701,0.99153137,0.12210046,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
