page,cardIndex,row,column,sourceId,predictionId,score,box,width,height,tileId,tileOrigin,modelProfile,threshold
1,1,1,1,22,22_pred_00002,0.203969,"['1005.605', '1272.126', '1047.577', '1313.974']",41.972,41.848,22__x00596_y00965,"['00596', '00965']",small_16_32_64_128,0.125
1,2,1,2,22,22_pred_00004,0.167613,"['900.347', '712.452', '943.342', '756.528']",42.995,44.076,22__x00596_y00384,"['00596', '00384']",small_16_32_64_128,0.125
1,3,1,3,22,22_pred_00005,0.163133,"['93.727', '1177.297', '136.101', '1220.494']",42.374,43.197,22__x00000_y00768,"['00000', '00768']",small_16_32_64_128,0.125
1,4,1,4,22,22_pred_00007,0.152034,"['526.071', '100.245', '568.590', '143.592']",42.519,43.347,22__x00384_y00000,"['00384', '00000']",small_16_32_64_128,0.125
1,5,2,1,22,22_pred_00008,0.144932,"['548.602', '731.961', '590.415', '774.078']",41.813,42.117,22__x00384_y00384,"['00384', '00384']",small_16_32_64_128,0.125
1,6,2,2,22,22_pred_00010,0.143113,"['244.362', '1115.225', '286.564', '1157.730']",42.202,42.505,22__x00000_y00768,"['00000', '00768']",small_16_32_64_128,0.125
1,7,2,3,22,22_pred_00011,0.142637,"['651.743', '712.962', '693.521', '755.964']",41.778,43.002,22__x00596_y00384,"['00596', '00384']",small_16_32_64_128,0.125
1,8,2,4,22,22_pred_00012,0.141889,"['58.035', '78.681', '162.966', '143.719']",104.931,65.038,22__x00000_y00000,"['00000', '00000']",small_16_32_64_128,0.125
1,9,3,1,22,22_pred_00013,0.141768,"['658.194', '1172.934', '700.027', '1217.657']",41.833,44.723,22__x00596_y00768,"['00596', '00768']",small_16_32_64_128,0.125
1,10,3,2,22,22_pred_00017,0.132226,"['94.318', '171.695', '136.339', '216.443']",42.021,44.748,22__x00000_y00000,"['00000', '00000']",small_16_32_64_128,0.125
1,11,3,3,22,22_pred_00018,0.130160,"['503.012', '348.007', '544.974', '392.203']",41.962,44.196,22__x00384_y00000,"['00384', '00000']",small_16_32_64_128,0.125
1,12,3,4,22,22_pred_00019,0.129666,"['799.841', '333.047', '890.440', '405.271']",90.599,72.224,22__x00384_y00000,"['00384', '00000']",small_16_32_64_128,0.125
1,13,4,1,22,22_pred_00022,0.126935,"['101.556', '1210.198', '143.972', '1253.624']",42.416,43.426,22__x00000_y00965,"['00000', '00965']",small_16_32_64_128,0.125
1,14,4,2,22,22_pred_00023,0.126743,"['263.971', '1392.562', '309.138', '1437.493']",45.167,44.931,22__x00000_y00965,"['00000', '00965']",small_16_32_64_128,0.125
1,15,4,3,22,22_pred_00024,0.125716,"['770.273', '1005.939', '813.667', '1049.244']",43.394,43.305,22__x00384_y00965,"['00384', '00965']",small_16_32_64_128,0.125
1,16,4,4,22,22_pred_00025,0.125652,"['448.060', '980.653', '487.579', '1022.838']",39.519,42.185,22__x00000_y00768,"['00000', '00768']",small_16_32_64_128,0.125
