pair_sequence,original_target_id,decision,preferred_reference_sorted_position,reason,source_v1_target_id
17,32,QUARANTINE_PAIR,33,both images are marker images; no valid matching raw image exists,
72,87,QUARANTINE_PAIR,,raw and marker are different source images,
74,89,QUARANTINE_PAIR,,raw and marker are different source images,
83,98,QUARANTINE_PAIR,,raw and marker are different source images,
87,102,QUARANTINE_PAIR,,raw and marker are different source images,
88,103,QUARANTINE_PAIR,,raw and marker are different source images,
89,104,QUARANTINE_PAIR,,raw and marker are different source images,
100,115,QUARANTINE_PAIR,,exact duplicate within pair,
101,116,QUARANTINE_PAIR,,exact duplicate within pair,
102,117,QUARANTINE_PAIR,,exact duplicate within pair,
85,100,QUARANTINE_PAIR,,confirmed_mismatched_raw_marker_pair_from_red_preflight,96
93,108,QUARANTINE_PAIR,,confirmed_mismatched_raw_marker_pair_from_red_preflight,101
95,110,QUARANTINE_PAIR,,confirmed_mismatched_raw_marker_pair_from_red_preflight,103
