raw_source_sha256,source_filename,previous_v1_target_id,final_v2_target_id,original_pair_sequence,decision,reason,review_status
dec0bfcb1c7d852806375632fb1f5eb04b5aecdecd769f3bd18fdc59c539c85c,S__10690609_0.jpg,83,83,69,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
dec0bfcb1c7d852806375632fb1f5eb04b5aecdecd769f3bd18fdc59c539c85c,S__10690609_1.jpg,84,84,70,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
092db2ccc5571d3995a554c75091cf6c4a73b15ca1f4fe401f760fbb306ce902,S__10690611_0.jpg,85,85,71,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
9d7ddb07ead52ff66e3e5a96c0f6e2f29e0ac249c646eed2ee6de7eeeeb36875,S__10690613_0.jpg,86,86,73,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
100a2f69dc86d0bac33d93a051ed0603931bd0309e9ed1c077e22270b03cc931,S__10690624_0.jpg,93,93,81,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
0a809013ea18810f9f467ab0b2f693601f32a21bfa1a1534209c328b6e5544cb,S__10690644_0.jpg,98,97,90,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
5f744acbb7054a61883dafd234fd7e8f2827fd1c1bf44d19b7d73926f19d0ce5,S__10690646_0.jpg,99,98,91,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
804d1442ba9fc9aa6747bd211762e01cdf79edc50aecfcaa8d889ab5092f738f,S__10690648_0.jpg,100,99,92,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
130ee4eee775905cee767f6c8c49c9ef47c2eaf76eb3bd38209fb3872f24b492,S__10690653_0.jpg,102,100,94,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
50f9ce25d811724e1f7dd8c77682c7adb8e4aac8974d6721b52ec1f0e683cb7b,S__10690664_0.jpg,108,105,103,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
71a079a9780d810ae4cfadf380a7ce4fde8a2bae7611de6b13044403bae43bde,S__10690666_0.jpg,109,106,104,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
79ff08c388145fd8628990953fae6c1367e103117ae8bc7f0802e5afbf5168d7,S__10690675_0.jpg,113,110,108,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
57dded582f6018d626cc2ded69b93c19a1d17e7abb289c922cbe9cb8d8f8fc31,S__10690677_0.jpg,114,111,109,APPROVED_RAW_RED_CONTENT,manually_reviewed_legitimate_red_content_in_raw_image,APPROVED
