threshold,validation_precision_dirty_positive,validation_recall_dirty_positive,validation_f1_dirty_positive,eligible_by_precision_rule,selection_rank,selected,selection_reason
0.10,0.41592920,0.90384615,0.56969697,false,,false,
0.15,0.46236559,0.82692308,0.59310345,false,,false,
0.20,0.50666667,0.73076923,0.59842520,false,,false,
0.25,0.62745098,0.61538462,0.62135922,false,,false,
0.30,0.69230769,0.51923077,0.59340659,false,,false,
0.35,0.80645161,0.48076923,0.60240964,true,1,true,"precision>=0.80; selected highest recall, tie closest to 0.50"
0.40,0.92000000,0.44230769,0.59740260,true,,false,
0.45,0.95652174,0.42307692,0.58666667,true,,false,
0.50,1.00000000,0.40384615,0.57534247,true,,false,
0.55,1.00000000,0.38461538,0.55555556,true,,false,
0.60,1.00000000,0.38461538,0.55555556,true,,false,
0.65,1.00000000,0.38461538,0.55555556,true,,false,
0.70,1.00000000,0.38461538,0.55555556,true,,false,
0.75,1.00000000,0.38461538,0.55555556,true,,false,
0.80,1.00000000,0.34615385,0.51428571,true,,false,
0.85,1.00000000,0.25000000,0.40000000,true,,false,
0.90,1.00000000,0.17307692,0.29508197,true,,false,
