image_id,source_image,marked_image,spot_id,x_center,y_center,radius,component_area,enclosing_circle_radius,quality_score,pass_fail_status,manually_verified_alignment,alignment_note,marker_source,label_confidence,review_status,notes
1,1.jpg,1m.jpg,1_spot_001,706.844,158.7034,16.0,327,14.5389,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
1,1.jpg,1m.jpg,1_spot_002,304.9535,209.1495,31.518,709,31.518,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
1,1.jpg,1m.jpg,1_spot_003,768.5246,216.8845,34.558,814,34.558,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
1,1.jpg,1m.jpg,1_spot_004,685.8416,385.6637,21.1275,562,21.1275,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
1,1.jpg,1m.jpg,1_spot_005,159.0787,419.5569,16.0,343,15.4072,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
1,1.jpg,1m.jpg,1_spot_006,774.0578,467.3857,32.348,796,32.348,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
1,1.jpg,1m.jpg,1_spot_007,202.2246,476.7983,30.812,699,30.812,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
1,1.jpg,1m.jpg,1_spot_008,820.167,528.2453,24.9099,587,24.9099,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
1,1.jpg,1m.jpg,1_spot_009,168.5717,577.3415,23.088,530,23.088,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
1,1.jpg,1m.jpg,1_spot_010,587.3617,666.6928,49.6237,1211,49.6237,80,PASS,true,non-identical frame; visually verified marker-to-defect correspondence,blue_marker,preliminary_verified,pending_preview_confirmation,no automatic merge; no warp; no coordinate correction
