image_id,spot_id,preliminary_preview_radius,raw_enclosing_circle_radius,final_ground_truth_radius,preview_radius,radius_changed_from_preliminary
1,1_spot_001,16.0,14.5389,14.5389,16.0,true
1,1_spot_002,31.518,31.518,31.518,31.518,false
1,1_spot_003,34.558,34.558,34.558,34.558,false
1,1_spot_004,21.1275,21.1275,21.1275,21.1275,false
1,1_spot_005,16.0,15.4072,15.4072,16.0,true
1,1_spot_006,32.348,32.348,32.348,32.348,false
1,1_spot_007,30.812,30.812,30.812,30.812,false
1,1_spot_008,24.9099,24.9099,24.9099,24.9099,false
1,1_spot_009,23.088,23.088,23.088,23.088,false
1,1_spot_010,49.6237,49.6237,49.6237,49.6237,false
1,1_spot_011,27.4114,27.4114,27.4114,27.4114,false
1,1_spot_012,25.2466,25.2466,25.2466,25.2466,false
1,1_spot_013,31.7806,31.7806,31.7806,31.7806,false
1,1_spot_014,22.229,22.229,22.229,22.229,false
1,1_spot_015,26.0991,26.0991,26.0991,26.0991,false
1,1_spot_016,30.9557,30.9557,30.9557,30.9557,false
1,1_spot_017,30.6106,30.6106,30.6106,30.6106,false
1,1_spot_018,34.7708,34.7708,34.7708,34.7708,false
1,1_spot_019,34.3002,34.3002,34.3002,34.3002,false
1,1_spot_020,23.2864,23.2864,23.2864,23.2864,false
1,1_spot_021,28.0402,28.0402,28.0402,28.0402,false
1,1_spot_022,37.6432,37.6432,37.6432,37.6432,false
1,1_spot_023,25.8724,25.8724,25.8724,25.8724,false
1,1_spot_024,19.9677,19.9677,19.9677,19.9677,false
1,1_spot_025,33.361,33.361,33.361,33.361,false
1,1_spot_026,50.0,53.4159,53.4159,50.0,true
2,2_spot_001,38.0593,38.0593,38.0593,38.0593,false
2,2_spot_002,24.4429,24.4429,24.4429,24.4429,false
2,2_spot_003,27.1184,27.1184,27.1184,27.1184,false
2,2_spot_004,32.0703,32.0703,32.0703,32.0703,false
2,2_spot_005,22.8058,22.8058,22.8058,22.8058,false
2,2_spot_006,25.9857,25.9857,25.9857,25.9857,false
2,2_spot_007,30.2267,30.2267,30.2267,30.2267,false
2,2_spot_008,29.6017,29.6017,29.6017,29.6017,false
2,2_spot_009,20.3411,20.3411,20.3411,20.3411,false
2,2_spot_010,19.9864,19.9864,19.9864,19.9864,false
2,2_spot_011,29.5192,29.5192,29.5192,29.5192,false
2,2_spot_012,23.2031,23.2031,23.2031,23.2031,false
2,2_spot_013,21.3078,21.3078,21.3078,21.3078,false
2,2_spot_014,21.0999,21.0999,21.0999,21.0999,false
2,2_spot_015,16.7147,16.7147,16.7147,16.7147,false
2,2_spot_016,18.6295,18.6295,18.6295,18.6295,false
2,2_spot_017,18.5541,18.5541,18.5541,18.5541,false
2,2_spot_018,20.5184,20.5184,20.5184,20.5184,false
2,2_spot_019,22.9172,22.9172,22.9172,22.9172,false
2,2_spot_020,26.1822,26.1822,26.1822,26.1822,false
2,2_spot_021,49.8279,49.8279,49.8279,49.8279,false
2,2_spot_022,21.1261,21.1261,21.1261,21.1261,false
2,2_spot_023,16.0,14.7802,14.7802,16.0,true
2,2_spot_024,24.0261,24.0261,24.0261,24.0261,false
2,2_spot_025,50.0,53.7821,53.7821,50.0,true
2,2_spot_026,25.8531,25.8531,25.8531,25.8531,false
2,2_spot_027,25.1646,25.1646,25.1646,25.1646,false
2,2_spot_028,29.2063,29.2063,29.2063,29.2063,false
2,2_spot_029,20.2331,20.2331,20.2331,20.2331,false
2,2_spot_030,29.4152,29.4152,29.4152,29.4152,false
2,2_spot_031,22.4139,22.4139,22.4139,22.4139,false
2,2_spot_032,19.3253,19.3253,19.3253,19.3253,false
2,2_spot_033,24.6542,24.6542,24.6542,24.6542,false
2,2_spot_034,17.4429,17.4429,17.4429,17.4429,false
2,2_spot_035,26.3487,26.3487,26.3487,26.3487,false
2,2_spot_036,28.302,28.302,28.302,28.302,false
2,2_spot_037,17.959,17.959,17.959,17.959,false
2,2_spot_038,21.0298,21.0298,21.0298,21.0298,false
2,2_spot_039,25.8274,25.8274,25.8274,25.8274,false
2,2_spot_040,30.5288,30.5288,30.5288,30.5288,false
2,2_spot_041,42.1934,42.1934,42.1934,42.1934,false
3,3_spot_001,27.4114,27.4114,27.4114,27.4114,false
3,3_spot_002,22.6496,22.6496,22.6496,22.6496,false
3,3_spot_003,32.3304,32.3304,32.3304,32.3304,false
3,3_spot_004,29.4513,29.4513,29.4513,29.4513,false
3,3_spot_005,26.1634,26.1634,26.1634,26.1634,false
3,3_spot_006,36.1256,36.1256,36.1256,36.1256,false
3,3_spot_007,33.2943,33.2943,33.2943,33.2943,false
3,3_spot_008,27.3543,27.3543,27.3543,27.3543,false
3,3_spot_009,50.0,57.7171,57.7171,50.0,true
3,3_spot_010,21.401,21.401,21.401,21.401,false
3,3_spot_011,31.2492,31.2492,31.2492,31.2492,false
3,3_spot_012,23.7146,23.7146,23.7146,23.7146,false
3,3_spot_013,48.4367,48.4367,48.4367,48.4367,false
3,3_spot_014,21.4815,21.4815,21.4815,21.4815,false
3,3_spot_015,17.25,17.25,17.25,17.25,false
3,3_spot_016,23.4416,23.4416,23.4416,23.4416,false
3,3_spot_017,19.2095,19.2095,19.2095,19.2095,false
3,3_spot_018,24.5437,24.5437,24.5437,24.5437,false
3,3_spot_019,21.101,21.101,21.101,21.101,false
3,3_spot_020,25.8724,25.8724,25.8724,25.8724,false
3,3_spot_021,40.5618,40.5618,40.5618,40.5618,false
3,3_spot_022,32.0352,32.0352,32.0352,32.0352,false
3,3_spot_023,26.8051,26.8051,26.8051,26.8051,false
3,3_spot_024,27.5593,27.5593,27.5593,27.5593,false
3,3_spot_025,25.3477,25.3477,25.3477,25.3477,false
3,3_spot_026,27.7355,27.7355,27.7355,27.7355,false
3,3_spot_027,46.3817,46.3817,46.3817,46.3817,false
3,3_spot_028,32.5001,32.5001,32.5001,32.5001,false
3,3_spot_029,34.5164,34.5164,34.5164,34.5164,false
3,3_spot_030,31.2492,31.2492,31.2492,31.2492,false
3,3_spot_031,24.8497,24.8497,24.8497,24.8497,false
3,3_spot_032,42.9114,42.9114,42.9114,42.9114,false
3,3_spot_033,28.4254,28.4254,28.4254,28.4254,false
4,4_spot_001,33.6509,33.6509,33.6509,33.6509,false
4,4_spot_002,26.8562,26.8562,26.8562,26.8562,false
4,4_spot_003,26.5001,26.5001,26.5001,26.5001,false
4,4_spot_004,27.1018,27.1018,27.1018,27.1018,false
4,4_spot_005,31.3848,31.3848,31.3848,31.3848,false
4,4_spot_006,38.8122,38.8122,38.8122,38.8122,false
4,4_spot_007,31.8984,31.8984,31.8984,31.8984,false
4,4_spot_008,31.5655,31.5655,31.5655,31.5655,false
4,4_spot_009,33.3543,33.3543,33.3543,33.3543,false
4,4_spot_010,34.7636,34.7636,34.7636,34.7636,false
