image_id,spot_id,x_center,y_center,bbox_x,bbox_y,bbox_width,bbox_height,component_area,equivalent_circle_radius,enclosing_circle_radius,nearest_neighbor_distance,source_marked_image
1,1_spot_001,706.844,158.7034,694,146,27,27,327,10.2023,14.5389,84.7911,1m.jpg
1,1_spot_002,304.9535,209.1495,279,183,53,53,709,15.0227,31.518,256.0287,1m.jpg
1,1_spot_003,768.5246,216.8845,742,185,54,65,814,16.0967,34.558,84.7911,1m.jpg
1,1_spot_004,685.8416,385.6637,665,365,42,43,562,13.375,21.1275,120.2522,1m.jpg
1,1_spot_005,159.0787,419.5569,146,406,27,28,343,10.4489,15.4072,71.6809,1m.jpg
1,1_spot_006,774.0578,467.3857,746,439,57,57,796,15.9177,32.348,76.3541,1m.jpg
1,1_spot_007,202.2246,476.7983,177,451,52,53,699,14.9164,30.812,71.6809,1m.jpg
1,1_spot_008,820.167,528.2453,799,507,43,43,587,13.6692,24.9099,76.3541,1m.jpg
1,1_spot_009,168.5717,577.3415,151,556,36,44,530,12.9886,23.088,88.7451,1m.jpg
1,1_spot_010,587.3617,666.6928,544,624,87,86,1211,19.6335,49.6237,251.1648,1m.jpg
1,1_spot_011,196.7041,661.5095,174,638,47,47,632,14.1835,27.4114,88.7451,1m.jpg
1,1_spot_012,833.195,718.1686,811,696,45,45,605,13.8772,25.2466,190.3696,1m.jpg
1,1_spot_013,388.0248,952.0295,357,921,63,63,847,16.4198,31.7806,58.1363,1m.jpg
1,1_spot_014,361.265,1003.641,340,982,44,45,585,13.6459,22.229,58.1363,1m.jpg
1,1_spot_015,110.7949,1016.9316,86,991,52,52,746,15.4097,26.0991,95.9702,1m.jpg
1,1_spot_016,968.445,1086.3263,939,1061,59,52,809,16.0472,30.9557,227.5155,1m.jpg
1,1_spot_017,120.0791,1112.4516,94,1086,54,54,733,15.2749,30.6106,68.1601,1m.jpg
1,1_spot_018,529.9623,1137.1119,501,1108,59,59,822,16.1756,34.7708,160.3722,1m.jpg
1,1_spot_019,189.2399,1150.0257,158,1124,64,53,817,16.1264,34.3002,78.7085,1m.jpg
1,1_spot_020,316.6099,1166.2399,294,1150,46,34,546,13.1832,23.2864,60.4226,1m.jpg
1,1_spot_021,96.6929,1176.4743,70,1153,54,47,700,14.9271,28.0402,68.1601,1m.jpg
1,1_spot_022,293.8382,1222.2072,263,1190,62,66,1057,18.3427,37.6432,60.4226,1m.jpg
1,1_spot_023,391.9656,1218.8197,370,1197,45,44,610,13.9345,25.8724,91.8865,1m.jpg
1,1_spot_024,810.0536,1249.6525,791,1230,39,40,541,13.1227,19.9677,227.5155,1m.jpg
1,1_spot_025,144.801,1272.4466,119,1241,53,63,824,16.1953,33.361,107.355,1m.jpg
1,1_spot_026,479.9358,1392.0663,432,1354,93,77,1432,21.3499,53.4159,194.3017,1m.jpg
2,2_spot_001,357.3391,276.6589,334,240,47,76,988,17.7339,38.0593,149.451,2m.jpg
2,2_spot_002,1025.7128,272.7787,1003,253,46,41,592,13.7273,24.4429,154.451,2m.jpg
2,2_spot_003,659.6264,285.2903,633,259,55,54,720,15.1388,27.1184,71.1719,2m.jpg
2,2_spot_004,504.5433,302.4759,480,273,49,60,727,15.2122,32.0703,63.5501,2m.jpg
2,2_spot_005,560.0361,337.0228,542,315,36,45,527,12.9518,22.8058,59.9039,2m.jpg
2,2_spot_006,885.6236,337.8182,862,319,48,39,550,13.2314,25.9857,141.3607,2m.jpg
2,2_spot_007,632.8337,351.2266,603,321,61,61,812,16.0769,30.2267,71.1719,2m.jpg
2,2_spot_008,507.5813,365.9533,480,344,56,45,664,14.5381,29.6017,59.9039,2m.jpg
2,2_spot_009,564.1149,450.3409,544,431,41,40,531,13.0009,20.3411,101.5742,2m.jpg
2,2_spot_010,161.1794,457.9058,146,440,32,38,446,11.915,19.9864,119.591,2m.jpg
2,2_spot_011,903.5939,478.032,878,452,52,52,687,14.7878,29.5192,98.4518,2m.jpg
2,2_spot_012,1007.8271,542.9944,988,523,41,41,532,13.0131,23.2031,59.54,2m.jpg
2,2_spot_013,952.0218,563.7495,931,543,43,43,551,13.2434,21.3078,59.54,2m.jpg
2,2_spot_014,117.5415,569.251,101,550,33,40,482,12.3865,21.0999,119.591,2m.jpg
2,2_spot_015,374.1,565.6412,360,552,29,28,340,10.4031,16.7147,92.724,2m.jpg
2,2_spot_016,566.2572,593.1538,551,576,31,35,416,11.5073,18.6295,49.929,2m.jpg
2,2_spot_017,463.0025,605.0494,450,587,27,37,405,11.3541,18.5541,45.9081,2m.jpg
2,2_spot_018,527.3114,624.3969,509,607,37,36,456,12.0478,20.5184,49.929,2m.jpg
2,2_spot_019,431.5113,638.4538,415,617,34,43,487,12.4506,22.9172,45.9081,2m.jpg
2,2_spot_020,324.4526,659.4347,303,638,44,44,559,13.3392,26.1822,106.123,2m.jpg
2,2_spot_021,589.2,677.8177,558,638,76,91,1635,22.8131,49.8279,50.7389,2m.jpg
2,2_spot_022,180.4,686.8815,160,666,42,42,540,13.1106,21.1261,133.3721,2m.jpg
2,2_spot_023,473.5781,681.5781,462,668,24,28,320,10.0925,14.7802,60.2439,2m.jpg
2,2_spot_024,631.6139,705.6655,614,682,36,48,562,13.375,24.0261,50.7389,2m.jpg
2,2_spot_025,520.0984,743.9009,495,691,53,108,1413,21.2078,53.7821,77.7706,2m.jpg
2,2_spot_026,803.0536,823.5571,781,802,45,44,578,13.564,25.8531,80.6097,2m.jpg
2,2_spot_027,285.0771,868.669,264,847,44,44,571,13.4817,25.1646,108.2599,2m.jpg
2,2_spot_028,900.9787,884.814,876,860,51,51,656,14.4503,29.2063,103.2757,2m.jpg
2,2_spot_029,392.6477,880.8659,376,864,35,35,440,11.8345,20.2331,83.9991,2m.jpg
2,2_spot_030,771.3475,897.6695,747,870,49,56,708,15.0121,29.4152,80.6097,2m.jpg
2,2_spot_031,1000.2615,913.2535,981,895,39,38,501,12.6283,22.4139,76.9081,2m.jpg
2,2_spot_032,458.8436,932.5762,440,914,39,38,505,12.6786,19.3253,76.645,2m.jpg
2,2_spot_033,298.9323,977.323,275,956,49,43,709,15.0227,24.6542,43.6213,2m.jpg
2,2_spot_034,350.5279,975.7401,337,960,28,33,377,10.9546,17.4429,51.6199,2m.jpg
2,2_spot_035,980.365,987.5434,960,963,41,50,611,13.9459,26.3487,76.9081,2m.jpg
2,2_spot_036,685.5724,988.1187,660,968,52,41,615,13.9914,28.302,124.6532,2m.jpg
2,2_spot_037,489.6646,1002.7511,472,985,36,36,474,12.2833,17.959,69.5294,2m.jpg
2,2_spot_038,288.4438,1019.6646,269,1003,40,35,480,12.3608,21.0298,43.6213,2m.jpg
2,2_spot_039,433.0133,1043.062,408,1018,51,51,677,14.6798,25.8274,69.5294,2m.jpg
2,2_spot_040,824.8473,1081.6557,802,1053,46,58,668,14.5819,30.5288,167.7697,2m.jpg
2,2_spot_041,601.6405,1230.5119,559,1201,85,62,1174,19.3312,42.1934,252.136,2m.jpg
3,3_spot_001,570.5854,125.8714,548,104,46,45,591,13.7157,27.4114,112.3225,3m.jpg
3,3_spot_002,434.6344,145.5048,415,126,40,40,517,12.8283,22.6496,135.4403,3m.jpg
3,3_spot_003,537.771,233.2938,510,206,57,56,725,15.1913,32.3304,63.5341,3m.jpg
3,3_spot_004,142.9608,279.033,118,254,51,51,637,14.2395,29.4513,163.7691,3m.jpg
3,3_spot_005,541.8559,296.6964,517,276,50,43,583,13.6226,26.1634,47.371,3m.jpg
3,3_spot_006,335.9331,318.644,303,292,66,61,1031,18.1157,36.1256,56.1939,3m.jpg
3,3_spot_007,568.1683,336.0877,540,309,56,55,707,15.0015,33.2943,47.371,3m.jpg
3,3_spot_008,405.3987,348.4535,385,324,41,50,602,13.8428,27.3543,75.5915,3m.jpg
