fold_id,outer_test_image_id,inner_validation_image_id,inner_training_image_ids,train_source_count,validation_source_count,test_source_count,train_crop_count,validation_crop_count,test_crop_count
1,1,2,3;4;5;6;7;8;9;10;11;12;13;14;15,13,1,1,3041,213,215
2,2,3,1;4;5;6;7;8;9;10;11;12;13;14;15,13,1,1,2998,258,213
3,3,4,1;2;5;6;7;8;9;10;11;12;13;14;15,13,1,1,2896,315,258
4,4,5,1;2;3;6;7;8;9;10;11;12;13;14;15,13,1,1,2898,256,315
5,5,6,1;2;3;4;7;8;9;10;11;12;13;14;15,13,1,1,2915,298,256
6,6,7,1;2;3;4;5;8;9;10;11;12;13;14;15,13,1,1,3002,169,298
7,7,8,1;2;3;4;5;6;9;10;11;12;13;14;15,13,1,1,3095,205,169
8,8,9,1;2;3;4;5;6;7;10;11;12;13;14;15,13,1,1,2959,305,205
9,9,10,1;2;3;4;5;6;7;8;11;12;13;14;15,13,1,1,2953,211,305
10,10,11,1;2;3;4;5;6;7;8;9;12;13;14;15,13,1,1,3068,190,211
11,11,12,1;2;3;4;5;6;7;8;9;10;13;14;15,13,1,1,3070,209,190
12,12,13,1;2;3;4;5;6;7;8;9;10;11;14;15,13,1,1,3053,207,209
13,13,14,1;2;3;4;5;6;7;8;9;10;11;12;15,13,1,1,3042,220,207
14,14,15,1;2;3;4;5;6;7;8;9;10;11;12;13,13,1,1,3051,198,220
15,15,1,2;3;4;5;6;7;8;9;10;11;12;13;14,13,1,1,3056,215,198
