fold_id,outer_test_image_id,inner_validation_image_id,threshold,validation_precision_dirty_positive,validation_recall_dirty_positive,validation_f1_dirty_positive,eligible_by_precision_rule,selected,selection_reason
1,1,2,0.10,0.90502793,0.98780488,0.94460641,true,false,
1,1,2,0.15,0.92045455,0.98780488,0.95294118,true,false,
1,1,2,0.20,0.94186047,0.98780488,0.96428571,true,true,"precision>=0.80; selected highest recall, tie closest to 0.50"
1,1,2,0.25,0.94545455,0.95121951,0.94832827,true,false,
1,1,2,0.30,0.95652174,0.93902439,0.94769231,true,false,
1,1,2,0.35,0.97419355,0.92073171,0.94670846,true,false,
1,1,2,0.40,0.98051948,0.92073171,0.94968553,true,false,
1,1,2,0.45,0.98666667,0.90243902,0.94267516,true,false,
1,1,2,0.50,0.99324324,0.89634146,0.94230769,true,false,
1,1,2,0.55,0.99319728,0.89024390,0.93890675,true,false,
1,1,2,0.60,1.00000000,0.88414634,0.93851133,true,false,
1,1,2,0.65,1.00000000,0.84146341,0.91390728,true,false,
1,1,2,0.70,1.00000000,0.80487805,0.89189189,true,false,
1,1,2,0.75,1.00000000,0.78658537,0.88054608,true,false,
1,1,2,0.80,1.00000000,0.72560976,0.84098940,true,false,
1,1,2,0.85,1.00000000,0.67073171,0.80291971,true,false,
1,1,2,0.90,1.00000000,0.54268293,0.70355731,true,false,
2,2,3,0.10,0.57641921,1.00000000,0.73130194,false,false,
2,2,3,0.15,0.58407080,1.00000000,0.73743017,false,false,
2,2,3,0.20,0.59090909,0.98484848,0.73863636,false,false,
2,2,3,0.25,0.59907834,0.98484848,0.74498567,false,false,
2,2,3,0.30,0.60465116,0.98484848,0.74927954,false,false,
2,2,3,0.35,0.61032864,0.98484848,0.75362319,false,false,
2,2,3,0.40,0.61611374,0.98484848,0.75801749,false,false,
2,2,3,0.45,0.62500000,0.98484848,0.76470588,false,false,
2,2,3,0.50,0.64039409,0.98484848,0.77611940,false,false,
2,2,3,0.55,0.65306122,0.96969697,0.78048780,false,false,
2,2,3,0.60,0.67553191,0.96212121,0.79375000,false,false,
2,2,3,0.65,0.71839080,0.94696970,0.81699346,false,false,
2,2,3,0.70,0.77358491,0.93181818,0.84536082,false,false,
2,2,3,0.75,0.81756757,0.91666667,0.86428571,true,true,"precision>=0.80; selected highest recall, tie closest to 0.50"
2,2,3,0.80,0.85820896,0.87121212,0.86466165,true,false,
2,2,3,0.85,0.88281250,0.85606061,0.86923077,true,false,
2,2,3,0.90,0.88888889,0.78787879,0.83534137,true,false,
3,3,4,0.10,0.29090909,0.95238095,0.44568245,false,false,
3,3,4,0.15,0.30384615,0.94047619,0.45930233,false,false,
3,3,4,0.20,0.31726908,0.94047619,0.47447447,false,false,
