fold_id,outer_test_image_id,selected_threshold,test_crop_count,test_dirty_positive_count,test_clean_negative_count,accuracy,precision_dirty_positive,recall_dirty_positive,f1_dirty_positive,false_negative_dirty_count,false_positive_dirty_count,roc_auc,average_precision,metric_status,notes
1,1,0.20,215,104,111,0.58604651,0.55102041,0.77884615,0.64541833,23,66,0.66363479,0.66400228,available,
2,2,0.75,213,164,49,0.86854460,1.00000000,0.82926829,0.90666667,28,0,0.98730712,0.99631674,available,
3,3,0.70,258,132,126,0.83720930,0.77777778,0.95454545,0.85714286,6,36,0.94889370,0.96169450,available,
4,4,0.25,315,84,231,0.46349206,0.32510288,0.94047619,0.48318043,5,164,0.78684807,0.67581439,available,
5,5,0.75,256,100,156,0.82812500,1.00000000,0.56000000,0.71794872,44,0,0.96865385,0.96078300,available,
6,6,0.25,298,68,230,0.51342282,0.30256410,0.86764706,0.44866920,9,136,0.79827366,0.69496100,available,
7,7,0.65,169,108,61,0.80473373,1.00000000,0.69444444,0.81967213,33,0,0.97419551,0.98598654,available,
8,8,0.30,205,80,125,0.67317073,0.56074766,0.75000000,0.64171123,20,47,0.75240000,0.67557991,available,
9,9,0.60,305,52,253,0.89180328,0.95238095,0.38461538,0.54794521,32,1,0.89343265,0.70509623,available,
10,10,0.45,211,80,131,0.81990521,0.71428571,0.87500000,0.78651685,10,28,0.90734733,0.85272655,available,
11,11,0.20,190,124,66,0.77894737,0.76282051,0.95967742,0.85000000,5,37,0.92326491,0.96494291,available,
12,12,0.20,209,156,53,0.88516746,0.87078652,0.99358974,0.92814371,1,23,0.91315917,0.96809924,available,
13,13,0.55,207,80,127,0.91787440,0.92000000,0.86250000,0.89032258,11,6,0.94645669,0.93418316,available,
14,14,0.85,220,60,160,0.87272727,0.97058824,0.55000000,0.70212766,27,1,0.90510417,0.88455446,available,
15,15,0.15,198,96,102,0.65656566,0.58750000,0.97916667,0.73437500,2,66,0.88000408,0.88854008,available,
