fold_id,image_id,crop_path,dataset_split,crop_label,prediction,error_type,probability_dirty_positive,selected_threshold,threshold_margin,grayscale_mean,grayscale_std,grayscale_p05,grayscale_p95,hsv_saturation_mean,hsv_value_mean,laplacian_variance,edge_pixel_fraction,selected_for_contact_sheet,contact_sheet_path
1,1,clean_negative/clean_1_1.jpg,train,clean_negative,clean_negative,true_negative,0.13458312,0.20,0.06541688,0.73011702,0.07059824,0.63529414,0.86666667,0.06109535,0.74463105,0.00686167,0.55354309,false,
1,1,clean_negative/clean_1_2.jpg,train,clean_negative,clean_negative,true_negative,0.18623250,0.20,0.01376750,0.68898672,0.08497494,0.55686277,0.83921570,0.09944075,0.70682544,0.00484925,0.57546997,false,
1,1,clean_negative/clean_1_3.jpg,train,clean_negative,clean_negative,true_negative,0.07287859,0.20,0.12712141,0.68022799,0.09184851,0.52941179,0.83529413,0.10850406,0.69971788,0.00424594,0.55668640,false,
1,1,clean_negative/clean_1_4.jpg,train,clean_negative,clean_negative,true_negative,0.05545931,0.20,0.14454069,0.66956639,0.09541343,0.51764709,0.83137256,0.11786452,0.69057071,0.00399402,0.54260254,false,
1,1,clean_negative/clean_1_5.jpg,train,clean_negative,dirty_positive,false_positive,0.20996536,0.20,0.00996536,0.61351174,0.06341986,0.54117650,0.73333335,0.09471892,0.63561147,0.00179701,0.19982910,false,
1,1,clean_negative/clean_1_6.jpg,train,clean_negative,dirty_positive,false_positive,0.24623805,0.20,0.04623805,0.60604882,0.03816821,0.54509807,0.65490198,0.08524625,0.62612307,0.00153871,0.14390564,false,
1,1,clean_negative/clean_1_7.jpg,train,clean_negative,clean_negative,true_negative,0.17226822,0.20,0.02773178,0.73338628,0.06855719,0.64313728,0.86274511,0.05649720,0.74773449,0.00606415,0.54957581,false,
1,1,clean_negative/clean_1_8.jpg,train,clean_negative,dirty_positive,false_positive,0.39752400,0.20,0.19752400,0.68049419,0.09502404,0.52156866,0.84313726,0.10314362,0.69862503,0.00457596,0.58737183,false,
1,1,clean_negative/clean_1_9.jpg,train,clean_negative,clean_negative,true_negative,0.13268875,0.20,0.06731125,0.66802478,0.10198642,0.50196081,0.83921570,0.11442621,0.68786669,0.00380486,0.55924988,false,
1,1,clean_negative/clean_1_10.jpg,train,clean_negative,clean_negative,true_negative,0.14087265,0.20,0.05912735,0.65350354,0.10373782,0.49803922,0.82745099,0.12568918,0.67480671,0.00339069,0.53729248,false,
1,1,clean_negative/clean_1_11.jpg,train,clean_negative,clean_negative,true_negative,0.14801372,0.20,0.05198628,0.60797578,0.06931429,0.53333336,0.75294119,0.10176650,0.63008487,0.00106939,0.24795532,false,
1,1,clean_negative/clean_1_12.jpg,train,clean_negative,dirty_positive,false_positive,0.22553206,0.20,0.02553206,0.59583569,0.04024179,0.53333336,0.65490198,0.09619985,0.61659026,0.00084686,0.18441772,false,
1,1,clean_negative/clean_1_13.jpg,train,clean_negative,clean_negative,true_negative,0.04608241,0.20,0.15391759,0.63808346,0.10909472,0.47843137,0.82352942,0.13199691,0.65971434,0.00326937,0.51190186,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_true_negative.jpg
1,1,clean_negative/clean_1_14.jpg,train,clean_negative,clean_negative,true_negative,0.18573323,0.20,0.01426677,0.73253059,0.06691671,0.64313728,0.85490197,0.05380483,0.74661958,0.00571793,0.54138184,false,
1,1,clean_negative/clean_1_15.jpg,train,clean_negative,dirty_positive,false_positive,0.24049111,0.20,0.04049111,0.67356086,0.10065222,0.50980395,0.84705883,0.10612123,0.69182646,0.00485029,0.59808350,false,
1,1,clean_negative/clean_1_16.jpg,train,clean_negative,clean_negative,true_negative,0.05023423,0.20,0.14976577,0.65827644,0.10906160,0.48627451,0.84313726,0.11801621,0.67816210,0.00389847,0.55606079,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_true_negative.jpg
1,1,clean_negative/clean_1_17.jpg,train,clean_negative,dirty_positive,false_positive,0.22933498,0.20,0.02933498,0.60338205,0.07372288,0.52941179,0.76862746,0.10466202,0.62453920,0.00144644,0.30473328,false,
1,1,clean_negative/clean_1_18.jpg,train,clean_negative,dirty_positive,false_positive,0.35573579,0.20,0.15573579,0.58785444,0.04346167,0.52941179,0.65490198,0.10330141,0.60842252,0.00119910,0.23701477,false,
1,1,clean_negative/clean_1_19.jpg,train,clean_negative,clean_negative,true_negative,0.12931707,0.20,0.07068293,0.73201746,0.06870285,0.63921571,0.85882354,0.05584387,0.74727315,0.00566072,0.54826355,false,
1,1,clean_negative/clean_1_20.jpg,train,clean_negative,clean_negative,true_negative,0.17309091,0.20,0.02690909,0.66070306,0.10557487,0.50980395,0.84705883,0.11762612,0.68033475,0.00490983,0.57153320,false,
1,1,clean_negative/clean_1_21.jpg,train,clean_negative,clean_negative,true_negative,0.04059928,0.20,0.15940072,0.64336377,0.11274140,0.48627451,0.84313726,0.13113607,0.66477531,0.00391470,0.52232361,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_true_negative.jpg
1,1,clean_negative/clean_1_22.jpg,train,clean_negative,clean_negative,true_negative,0.04016895,0.20,0.15983105,0.64032787,0.11305357,0.48235294,0.83921570,0.13348670,0.66203904,0.00379350,0.51557922,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_true_negative.jpg
1,1,clean_negative/clean_1_23.jpg,train,clean_negative,clean_negative,true_negative,0.13595643,0.20,0.06404357,0.60373789,0.07753544,0.52549022,0.78039217,0.10217501,0.62281698,0.00190104,0.36065674,false,
1,1,clean_negative/clean_1_24.jpg,train,clean_negative,dirty_positive,false_positive,0.26084546,0.20,0.06084546,0.58487427,0.04746645,0.52549022,0.66666669,0.10469840,0.60405195,0.00169170,0.29377747,false,
