image_id,crop_path,error_type,crop_label,prediction,probability_dirty_positive,selected_threshold,threshold_margin,selection_reason,contact_sheet_path
1,dirty_positive/dirty_1_13.jpg,false_negative,dirty_positive,clean_negative,0.01265597,0.20,0.18734403,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_24.jpg,false_negative,dirty_positive,clean_negative,0.02755668,0.20,0.17244332,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_16.jpg,false_negative,dirty_positive,clean_negative,0.03393212,0.20,0.16606788,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_19.jpg,false_negative,dirty_positive,clean_negative,0.03963343,0.20,0.16036657,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_14.jpg,false_negative,dirty_positive,clean_negative,0.04145322,0.20,0.15854678,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_34.jpg,false_negative,dirty_positive,clean_negative,0.04548743,0.20,0.15451257,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_15.jpg,false_negative,dirty_positive,clean_negative,0.05061245,0.20,0.14938755,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_25.jpg,false_negative,dirty_positive,clean_negative,0.05629754,0.20,0.14370246,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_12.jpg,false_negative,dirty_positive,clean_negative,0.08783327,0.20,0.11216673,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_41.jpg,false_negative,dirty_positive,clean_negative,0.09327154,0.20,0.10672846,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_2.jpg,false_negative,dirty_positive,clean_negative,0.09509154,0.20,0.10490846,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_27.jpg,false_negative,dirty_positive,clean_negative,0.10569947,0.20,0.09430053,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_22.jpg,false_negative,dirty_positive,clean_negative,0.10812544,0.20,0.09187456,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_17.jpg,false_negative,dirty_positive,clean_negative,0.11019089,0.20,0.08980911,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_1.jpg,false_negative,dirty_positive,clean_negative,0.12165841,0.20,0.07834159,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,dirty_positive/dirty_1_11.jpg,false_negative,dirty_positive,clean_negative,0.12311688,0.20,0.07688312,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,clean_negative/clean_1_64.jpg,false_positive,clean_negative,dirty_positive,0.99304943,0.20,0.79304943,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_83.jpg,false_positive,clean_negative,dirty_positive,0.98086010,0.20,0.78086010,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_82.jpg,false_positive,clean_negative,dirty_positive,0.98085781,0.20,0.78085781,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_48.jpg,false_positive,clean_negative,dirty_positive,0.97530421,0.20,0.77530421,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_47.jpg,false_positive,clean_negative,dirty_positive,0.97500921,0.20,0.77500921,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_84.jpg,false_positive,clean_negative,dirty_positive,0.97258761,0.20,0.77258761,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_45.jpg,false_positive,clean_negative,dirty_positive,0.96806164,0.20,0.76806164,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_63.jpg,false_positive,clean_negative,dirty_positive,0.95852879,0.20,0.75852879,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_62.jpg,false_positive,clean_negative,dirty_positive,0.95503723,0.20,0.75503723,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_95.jpg,false_positive,clean_negative,dirty_positive,0.94989119,0.20,0.74989119,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_90.jpg,false_positive,clean_negative,dirty_positive,0.94901353,0.20,0.74901353,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_46.jpg,false_positive,clean_negative,dirty_positive,0.94243138,0.20,0.74243138,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,clean_negative/clean_1_30.jpg,false_positive,clean_negative,dirty_positive,0.92211944,0.20,0.72211944,selected high-priority source; sorted by largest threshold margin,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
