image_id,test_crop_count,dirty_positive_count,clean_negative_count,selected_threshold,accuracy,precision_dirty_positive,recall_dirty_positive,f1_dirty_positive,true_positive_count,true_negative_count,false_positive_count,false_negative_count,false_positive_rate,false_negative_rate,business_risk_score,under_detection_rank,over_flagging_rank,overall_business_risk_rank
1,215,104,111,0.20,0.58604651,0.55102041,0.77884615,0.64541833,81,45,66,23,0.59459459,0.22115385,0.34787099,6,3,3
2,213,164,49,0.75,0.86854460,1.00000000,0.82926829,0.90666667,136,49,0,28,0.00000000,0.17073171,0.10869919,7,15,14
3,258,132,126,0.70,0.83720930,0.77777778,0.95454545,0.85714286,126,90,36,6,0.28571429,0.04545455,0.12987013,12,8,12
4,315,84,231,0.25,0.46349206,0.32510288,0.94047619,0.48318043,79,67,164,5,0.70995671,0.05952381,0.33645597,11,1,4
5,256,100,156,0.75,0.82812500,1.00000000,0.56000000,0.71794872,56,156,0,44,0.00000000,0.44000000,0.29051282,3,13,7
6,298,68,230,0.25,0.51342282,0.30256410,0.86764706,0.44866920,59,94,136,9,0.59130435,0.13235294,0.35183526,9,4,2
7,169,108,61,0.65,0.80473373,1.00000000,0.69444444,0.81967213,75,61,0,33,0.00000000,0.30555556,0.19785975,4,14,9
8,205,80,125,0.30,0.67317073,0.56074766,0.75000000,0.64171123,60,78,47,20,0.37600000,0.25000000,0.30857219,5,7,5
9,305,52,253,0.60,0.89180328,0.95238095,0.38461538,0.54794521,20,252,1,32,0.00395257,0.61538462,0.42169415,1,12,1
10,211,80,131,0.45,0.81990521,0.71428571,0.87500000,0.78651685,70,103,28,10,0.21374046,0.12500000,0.16930590,10,9,11
11,190,124,66,0.20,0.77894737,0.76282051,0.95967742,0.85000000,119,29,37,5,0.56060606,0.04032258,0.19781281,13,5,10
12,209,156,53,0.20,0.88516746,0.87078652,0.99358974,0.92814371,155,30,23,1,0.43396226,0.00641026,0.12965977,15,6,13
13,207,80,127,0.55,0.91787440,0.92000000,0.86250000,0.89032258,69,121,6,11,0.04724409,0.13750000,0.10798038,8,10,15
14,220,60,160,0.85,0.87272727,0.97058824,0.55000000,0.70212766,33,159,1,27,0.00625000,0.45000000,0.30103059,2,11,6
15,198,96,102,0.15,0.65656566,0.58750000,0.97916667,0.73437500,94,36,66,2,0.64705882,0.02083333,0.23858762,14,2,8
